标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
中庚城一期 端头三房朝南 带入户花园 拎包入住 次顶楼采光好,330,33472,中庚城一期,仓山,3,98.59,南,2012,"['南', '热门小区', '近地铁', '随时可看']"
世欧王庄一区 2室1厅 朝南象园小，小区物业好，环境优美，,129,21500,世欧王庄一区,晋安,2,60,南,2013,"['南', '热门小区', '南北通透', '房东急售']"
来电有优惠，送50平花园，三叉街一号线地铁，全新装修三房,232,24117,中骏世界城璟悦,仓山,3,96.2,南北,2021,"['热门小区', '南北通透', '配套成熟']"
降价50万 挥泪 保利香槟三期复式 四房 泰禾地铁站,339,28428,保利香槟国际,晋安,4,119.25,南,2019,"['南', '热门小区', '价格优惠', '房东急售']"
鼓楼区 金龙新村 三房 315万,315,35877,金龙新村,鼓楼,3,87.8,南北,1997,"['南北', '价格优惠', '房东急售', '随时可看']"
金山四房 改善社区 四号线地铁口 实用111平 专车接送,345,28992,万科城市之光,仓山,4,119,南,,"['大户型', '低容积']"
低总价两房 小区配套齐全 交通出行便利 社区环境好,128,20689,井源居,晋安,2,61.87,南,2005,"['南', '满二年', '近地铁']"
鲁能公馆一期 朝南 电梯房 正规商品房 满二 小区新,220,25169,鲁能公馆一期,晋安,2,87.41,南,2017,"['南', '热门小区', '南北通透', '房东急售']"
新出，金城湾精装修，不沿街，送入户花园南北通透刚需好房。,289,24026,新榕金城湾,仓山,3,120.29,东南,2015,"['东南', '有电梯', '近地铁']"
东泰禾 保利香槟国际 电梯高层 精装修 端头三房两卫满二,358,31150,保利香槟国际,晋安,3,114.93,东南,2016,"['东南', '满二年', '近地铁']"
金山，地铁口，万科品质。精装修。总价230万起。,395,29925,万科城市之光,仓山,4,132,南,,"['大户型', '低容积']"
地铁口 保利香槟 高层 售价267万 满二 视野无遮挡,260,29025,保利香槟国际,晋安,3,89.58,南北,2016,"['南北', 'VIP房东直卖', '满二年', '近地铁']"
铜盘小近左海公园2023年全新精装通透3房，中层，满2年省税,199,26351,兰庭六期,鼓楼,3,75.52,西南,2004,"['西南', '南北通透', '公摊小', '价格优惠']"
新出！全新精装45万，高层端头，大三房，现代轻奢风，拎包入住,205,18267,名城珑域,马尾,3,112.23,南北,2018,"['南北', '有电梯', '次新房']"
团购特价，五里亭核心，家楼下就是地铁口，国企品质，精装交付,399,31172,保利招商和樾风华,晋安,4,128,南,,"['大户型', '轨交房', '车位充足']"
泰禾广场旁，三盛精装复式，四房双阳台，设计漂亮，拎包入住，,300,24359,三盛中央公园西区,晋安,4,123.16,南北,2015,"['近地铁', '南北通透', '随时可看']"
诚意出，鲁能一期地铁口，带二次软装20万边头全明户型，阳光足,310,27898,鲁能公馆一期,晋安,3,111.12,南北,2017,"['热门小区', '南北通透', '房东急售']"
东二环泰禾旁，5米复式楼，一层两用，得房率高，带外阳台,78.9,18548,首开中庚香开连天(商住楼),晋安,2,42.54,南北,2020,"['南北', '热门小区', '近地铁', '配套成熟']"
仓山芯 白湖亭万达边 国企精装 好房 股 看了都喜欢,249,27978,左海望悦,仓山,3,89,南,,"['南北通透', '轨交房', '车位充足']"
金城湾精装两房， ，性价比超高,170,18698,新榕金城湾,仓山,2,90.92,东南,2015,"['东南', '满二年', '近地铁', '多人关注']"
钥匙在手 鲁能公馆 地铁口 一手未入住 价格可撩 次新社区,220,25169,鲁能公馆一期,晋安,2,87.41,南北,2019,"['南北', '满二年', '近地铁', '次新房']"
万科品质现房丨精装修复式两房丨带独立阳台丨双地铁口丨 即住,57,12495,万科云城,仓山,2,45.62,南北,2018,"['南北', '热门小区', '近地铁', '价格优惠']"
晋安区 罗马假日花园 三房 375万,375,31780,罗马假日花园,晋安,3,118,南北,2003,"['南北', '满二年', '近地铁']"
五四路刚需新盘，省体边，地铁旁低总价，毛坯交房,248,27866,建总誉璟,鼓楼,3,89,南,,"['南北通透', '轨交房']"
万达商圈 霞镜新城三区 3室2厅,169,21125,霞镜新城三区,仓山,3,80,南,2021,"['南', '近地铁', '次新房']"
华林路，接送屏东中，产权清晰无纠纷，屏东城，业主急售，阳光足,270,29944,屏东城,鼓楼,3,90.17,东南,2012,"['东南', '满二年', '近地铁', '多人关注']"
瀛洲花园单价8000 精装 高层 诚意出售,75,8334,瀛洲花园,闽侯,3,90,南北,2015,"['南北', '热门小区', '价格优惠', '随时可看']"
央企打造，商业配套成熟，交通便利，,342,30536,保利云上,晋安,4,112,南,,"['大户型', '轨交房']"
房东亏本出售 淮安地铁旁 精装3房 配套成熟,179,20434,保利西江林语,仓山,3,87.6,南北,2016,"['南北', '满二年', '近地铁']"
中海观澜府 有电梯 双卫格局 95平 仅售170万,170,17871,中海观澜府,闽侯,3,95.13,南北,2020,"['南北', '近地铁', '配套成熟', '优势户型']"
